Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(mmHg)
19/10/2023 8:01:41,"1040","18.2","58","759"
19/10/2023 8:03:41,"1003","18.2","58","759"
19/10/2023 8:05:41,"997","18.1","58","759"
19/10/2023 8:07:41,"986","18.1","58","760"
19/10/2023 8:09:41,"958","18.1","58","759"
19/10/2023 8:11:41,"928","18.0","58","759"
19/10/2023 8:13:41,"900","18.0","58","759"
19/10/2023 8:15:41,"746","17.9","51","759"
19/10/2023 8:17:41,"872","17.9","50","759"
19/10/2023 8:19:41,"1031","17.7","51","759"
19/10/2023 8:21:41,"1059","17.6","51","758"
19/10/2023 8:23:41,"1049","17.4","51","759"
19/10/2023 8:25:41,"1069","17.4","51","759"
19/10/2023 8:27:41,"1084","17.4","51","759"
19/10/2023 8:29:41,"1122","17.4","51","759"
19/10/2023 8:31:41,"1169","17.5","51","759"
19/10/2023 8:33:41,"1016","17.6","50","759"
19/10/2023 8:35:41,"993","17.6","49","758"
19/10/2023 8:37:41,"965","17.7","49","758"
19/10/2023 8:39:41,"1080","17.8","49","759"
19/10/2023 8:41:41,"1048","17.8","48","759"
19/10/2023 8:43:41,"996","17.9","48","759"
19/10/2023 8:45:41,"948","18.1","47","758"
19/10/2023 8:47:41,"952","18.2","47","759"
19/10/2023 8:49:41,"1006","18.3","47","759"
19/10/2023 8:51:41,"969","18.4","46","759"
19/10/2023 8:53:41,"947","18.6","46","759"
19/10/2023 8:55:41,"1131","18.7","46","759"
19/10/2023 8:57:41,"1096","18.8","46","759"
19/10/2023 8:59:41,"997","18.9","45","759"
19/10/2023 9:01:41,"985","18.9","45","759"
19/10/2023 9:03:41,"950","19.1","44","759"
19/10/2023 9:05:41,"1059","19.2","45","759"
19/10/2023 9:07:41,"974","19.3","42","759"
19/10/2023 9:09:41,"982","19.4","43","759"
19/10/2023 9:11:41,"1007","19.5","43","759"
19/10/2023 9:13:41,"1076","19.7","44","759"
19/10/2023 9:15:41,"1044","19.8","43","759"
19/10/2023 9:17:41,"1016","19.9","43","759"
19/10/2023 9:19:41,"1089","20.0","42","759"
19/10/2023 9:21:41,"1100","20.1","42","759"
19/10/2023 9:23:41,"1075","20.1","42","759"
19/10/2023 9:25:41,"1035","20.2","42","759"
19/10/2023 9:27:41,"1016","20.2","42","759"
19/10/2023 9:29:41,"971","20.3","41","759"
19/10/2023 9:31:41,"979","20.4","41","759"
19/10/2023 9:33:41,"925","20.5","41","759"
19/10/2023 9:35:41,"970","20.6","41","759"
19/10/2023 9:37:41,"1020","20.6","41","759"
19/10/2023 9:39:41,"960","20.7","41","759"
19/10/2023 9:41:41,"935","20.7","40","759"
19/10/2023 9:43:41,"939","20.8","40","759"
19/10/2023 9:45:41,"944","20.9","40","759"
19/10/2023 9:47:41,"1002","20.9","40","759"
19/10/2023 9:49:41,"1001","21.0","40","759"
19/10/2023 9:51:41,"963","21.0","40","759"
19/10/2023 9:53:41,"1004","21.1","39","759"
19/10/2023 9:55:41,"1088","21.1","40","759"
19/10/2023 9:57:41,"1084","21.0","40","759"
19/10/2023 9:59:41,"997","21.0","39","759"
19/10/2023 10:01:41,"1145","21.0","40","759"
19/10/2023 10:03:41,"1174","21.1","40","759"
